case,trial,action_id,expected_accept,accepted_by_response,response_bytes,frame_bytes,send_error_present,transport_key_id,bob_qgp_result,bob_qgp_reason,appserver_b_plaintexts_for_attack_send,app_plaintext_policy_ok,trial_result
honest_baseline,1,ACT-000280,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,2,ACT-000281,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,3,ACT-000282,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,4,ACT-000283,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,5,ACT-000284,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,6,ACT-000285,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,7,ACT-000286,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,8,ACT-000287,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,9,ACT-000288,True,True,8019,7761,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,10,ACT-000289,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,11,ACT-000290,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,12,ACT-000291,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,13,ACT-000292,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,14,ACT-000293,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,15,ACT-000294,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,16,ACT-000295,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,17,ACT-000296,True,True,7240,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,18,ACT-000297,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,19,ACT-000298,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,20,ACT-000299,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,21,ACT-000300,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,22,ACT-000301,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,23,ACT-000302,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,24,ACT-000303,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,25,ACT-000304,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,26,ACT-000305,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,27,ACT-000306,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,28,ACT-000307,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,29,ACT-000308,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
honest_baseline,30,ACT-000309,True,True,8021,7764,False,KID-015,PASS,ML-DSA signature verified,1,True,PASS
payload_flip,1,ACT-000310,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,2,ACT-000311,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,3,ACT-000312,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,4,ACT-000313,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,5,ACT-000314,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,6,ACT-000315,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,7,ACT-000316,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,8,ACT-000317,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,9,ACT-000318,False,False,0,7750,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,10,ACT-000319,False,False,0,7752,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,11,ACT-000320,False,False,0,7752,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,12,ACT-000321,False,False,0,7752,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,13,ACT-000322,False,False,0,7752,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,14,ACT-000323,False,False,0,7752,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
payload_flip,15,ACT-000324,False,False,0,7752,False,KID-015,FAIL,payload sha256 mismatch,0,True,PASS
